dist,red,green,blue
0,0.9373284551270756,0.31006782908173985,0.9350845875758265
1,0.9831730769230769,0.155,0.9825
1,0.9711538461538461,0.1575,0.91
1,0.9711538461538461,0.175,0.91
1,0.9831730769230769,0.13,0.985
1,0.9831730769230769,0.155,0.9825
1,0.9759615384615384,0.1575,0.9175
1,0.9831730769230769,0.1475,0.9825
1,0.9831730769230769,0.13,0.985
1,0.9831730769230769,0.1325,0.985
1,0.9831730769230769,0.1325,0.985
2,0.9807692307692307,0.1075,0.985
2,0.9807692307692307,0.1475,0.98
2,0.9807692307692307,0.15,0.745
2,0.9807692307692307,0.1325,0.9825
2,0.9807692307692307,0.1325,0.9825
2,0.9759615384615384,0.1475,0.9175
2,0.9855769230769231,0.36,0.7575
2,0.9783653846153846,0.1325,0.9275
2,0.9855769230769231,0.165,0.7675
2,0.9855769230769231,0.1525,0.745
2,0.9879807692307693,0.135,0.9875
2,0.9807692307692307,0.1625,0.98
2,0.9831730769230769,0.1475,0.75
2,0.9783653846153846,0.1325,0.925
2,0.9783653846153846,0.135,0.925
2,0.9759615384615384,0.175,0.915
2,0.9807692307692307,0.105,0.985
2,0.9807692307692307,0.1075,0.985
2,0.9783653846153846,0.15,0.9225
2,0.9735576923076923,0.16,0.8525
2,0.9807692307692307,0.1225,0.9825
2,0.9831730769230769,0.3125,0.915
2,0.9855769230769231,0.1625,0.87
2,0.9807692307692307,0.1325,0.9825
2,0.9807692307692307,0.15,0.98
2,0.9783653846153846,0.135,0.92
3,0.9831730769230769,0.1325,0.9275
3,0.9807692307692307,0.13,0.6725
3,0.9807692307692307,0.3175,0.7225
3,0.9831730769230769,0.13,0.985
3,0.9787234042553191,0.11547911547911548,0.9312039312039312
3,0.983132530120482,0.5288220551378446,0.5012531328320802
3,0.9855769230769231,0.1075,0.9875
3,0.9855769230769231,0.1425,0.6975
3,0.9739952718676123,0.12285012285012285,0.9238329238329238
3,0.9759615384615384,0.1475,0.7075
3,0.9739336492890995,0.1330049261083744,0.9236453201970444
3,0.9855769230769231,0.1125,0.9875
3,0.9807692307692307,0.3225,0.9275
3,0.9711538461538461,0.135,0.86
3,0.9807692307692307,0.505,0.34
3,0.9783653846153846,0.115,0.9325
3,0.9807692307692307,0.1075,0.7525
3,0.9831730769230769,0.5225,0.32
3,0.9783653846153846,0.1725,0.695
3,0.9810874704491725,0.11056511056511056,0.7616707616707616
3,0.9855769230769231,0.3475,0.7475
3,0.9787234042553191,0.13267813267813267,0.9287469287469288
3,0.9855769230769231,0.1625,0.755
3,0.9831730769230769,0.3175,0.77
3,0.9831730769230769,0.135,0.925
3,0.9855769230769231,0.11,0.9875
3,0.9763593380614657,0.14004914004914004,0.742014742014742
3,0.9831730769230769,0.315,0.7525
3,0.9855769230769231,0.3375,0.9225
3,0.9855769230769231,0.1575,0.7025
3,0.9783653846153846,0.165,0.9325
3,0.9807692307692307,0.1275,0.72
4,0.9759615384615384,0.10776942355889724,0.9775
4,0.9807692307692307,0.3725,0.725
4,0.9734939759036144,0.5037593984962406,0.5137844611528822
4,0.9855421686746988,0.3107769423558897,0.5463659147869674
4,0.9879518072289156,0.5288220551378446,0.49122807017543857
4,0.9783653846153846,0.26,0.9275
4,0.9807692307692307,0.335,0.9225
4,0.9759615384615384,0.1425,0.6825
4,0.985781990521327,0.1477832512315271,0.7536945812807881
4,0.9735576923076923,0.3425,0.6625
4,0.9855769230769231,0.335,0.7475
4,0.9834123222748815,0.3399014778325123,0.9285714285714286
4,0.9783653846153846,0.16,0.635
4,0.981042654028436,0.25862068965517243,0.5862068965517241
4,0.9807692307692307,0.12,0.93
4,0.9808153477218226,0.4389027431421446,0.4114713216957606
4,0.9879807692307693,0.325,0.805
4,0.983132530120482,0.3308270676691729,0.5112781954887218
4,0.9735576923076923,0.285,0.725
4,0.9855769230769231,0.3225,0.7425
4,0.9662650602409638,0.5037593984962406,0.48621553884711777
4,0.9831730769230769,0.395,0.7275
4,0.9738717339667459,0.1506172839506173,0.8567901234567902
4,0.9735576923076923,0.1425,0.8525
4,0.9855769230769231,0.3175,0.67
5,0.9831730769230769,0.32,0.8175
5,0.9881516587677726,0.3078817733990148,0.6995073891625616
5,0.9783653846153846,0.29,0.745
5,0.9831730769230769,0.1275,0.6975
5,0.9831730769230769,0.1575,0.5175
5,0.9783653846153846,0.3425,0.46
5,0.9831730769230769,0.1575,0.755
5,0.9831730769230769,0.5125,0.325
5,0.9783653846153846,0.1575,0.695
5,0.9808153477218226,0.16458852867830423,0.4139650872817955
5,0.973621103117506,0.2892768079800499,0.5087281795511222
5,0.9903846153846154,0.3225,0.7375
5,0.9663461538461539,0.1475,0.74
5,0.9807692307692307,0.4475,0.52
5,0.9783653846153846,0.68,0.5475
5,0.9759036144578314,0.2982456140350877,0.531328320802005
5,0.9879807692307693,0.14,0.655
5,0.9807692307692307,0.16,0.645
5,0.9759615384615384,0.1525,0.6475
5,0.9855769230769231,0.335,0.7275
5,0.96875,0.48,0.3725
5,0.9879807692307693,0.75,0.37
5,0.9735576923076923,0.3075,0.6325
5,0.9808612440191388,0.12686567164179105,0.4527363184079602
5,0.9807692307692307,0.1475,0.4375
5,0.9786729857819905,0.270935960591133,0.7906403940886699
5,0.9808153477218226,0.4688279301745636,0.513715710723192
5,0.9759615384615384,0.1625,0.4925
5,0.9855769230769231,0.2675,0.53
5,0.9808153477218226,0.13216957605985039,0.35910224438902744
5,0.983451536643026,0.4864864864864865,0.7076167076167076
5,0.9711538461538461,0.1725,0.5
5,0.980722891566265,0.5538847117794486,0.44110275689223055
5,0.9759615384615384,0.6175,0.565
5,0.9759036144578314,0.5338345864661654,0.3383458646616541
6,0.9831730769230769,0.5075,0.3875
6,0.9807692307692307,0.12,0.735
6,0.9858156028368794,0.5036855036855037,0.547911547911548
6,0.9786223277909739,0.3135802469135803,0.7358024691358025
6,0.9858156028368794,0.3464373464373464,0.5356265356265356
6,0.9711538461538461,0.4625,0.6875
6,0.9759615384615384,0.2775,0.72
6,0.9759036144578314,0.3458646616541353,0.3107769423558897
6,0.9786729857819905,0.12315270935960591,0.9778325123152709
6,0.9783653846153846,0.155,0.67
6,0.9715639810426541,0.4408866995073892,0.9187192118226601
6,0.9855769230769231,0.115,0.7425
6,0.9783653846153846,0.165,0.9775
6,0.9739952718676123,0.11302211302211303,0.515970515970516
6,0.9787234042553191,0.29484029484029484,0.5282555282555282
6,0.9783653846153846,0.14,0.7625
6,0.9763593380614657,0.47911547911547914,0.6511056511056511
6,0.9783653846153846,0.285,0.5325
6,0.9808153477218226,0.513715710723192,0.486284289276808
6,0.9855769230769231,0.1175,0.74
6,0.9615384615384616,0.1375,0.69
6,0.9759615384615384,0.1375,0.67
6,0.9831730769230769,0.4425,0.75
6,0.9615384615384616,0.1475,0.64
6,0.9735576923076923,0.295,0.7525
6,0.9855769230769231,0.47,0.7525
6,0.9831730769230769,0.15,0.7225
6,0.9810874704491725,0.32186732186732187,0.7567567567567568
6,0.9786729857819905,0.21428571428571427,0.9359605911330049
6,0.983132530120482,0.13533834586466165,0.47619047619047616
6,0.9759615384615384,0.3025,0.5175
