dist,red,green,blue
0,0.9373284551270756,0.31006782908173985,0.9350845875758265
1,0.9711538461538461,0.1575,0.91
2,0.9831730769230769,0.1325,0.7425
5,0.9858156028368794,0.29975429975429974,0.5257985257985258
6,0.973621103117506,0.18703241895261846,0.655860349127182
9,0.96875,0.1175,0.7175
